title,prompt_type,prompt,version,output,output_text,cum_logprob,YES_probs,Yes_probs,yes_probs,NO_probs,No_probs,no_probs,A_probs,B_probs
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and knows it is just her two dogs playing together. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs; Joanne just wanted help subduing the dogs. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered, no," no.
The term ""perceived emergency"" is ambiguous. It could mean that the police perceived an emergency, or that the policyholder perceived an emergency. The term is ambiguous because it",,-3.625169515609741,-2.236968517303467,-1.8619686365127563,-3.080718517303467,-1.7682186365127563,-1.5494686365127563,-6.830718517303467,-9.080718994140625
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insurance—yes or no? Final answer is:",unambiguous_covered, no," no.
The term ""perceived emergency"" is ambiguous. It could mean that the police perceived an emergency, or that Joanne perceived an emergency. The term is ambiguous because it could be understood in either way.
",,-3.5389647483825684,-2.163661479949951,-1.7730364799499512,-3.124598979949951,-1.8277239799499512,-1.6011614799499512,-6.792567729949951,-9.02499008178711
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that Joanne is experiencing mild paranoia after having recently watched a movie that involved a home burglary. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insurance—yes or no? Final answer is:",controversial, No," No.
The term ""perceived emergency"" is ambiguous. It could mean that the police believed that an emergency was occurring, or that Joanne believed that an emergency was occurring. The term ""perceived emergency""",,-3.3769545555114746,-2.1269545555114746,-1.908204436302185,-2.8769545555114746,-1.689454436302185,-1.689454436302185,-6.689454555511475,-8.689454078674316
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an accountant, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered, no," no.
The term ""first responder"" is not defined in the policy. However, the term is used in the context of the policy to refer to a person who is called to the scene of an",,-3.5823779106140137,-2.2073779106140137,-1.8401904106140137,-2.8870654106140137,-1.7776904106140137,-1.5276904106140137,-7.074565410614014,-9.402690887451172
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom the police promptly arrest. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insurance—yes or no? Final answer is:",unambiguous_covered, no," no.
The term ""first responder"" is not defined in the policy. However, the term is used in the context of the policy to refer to a police officer. The term ""police officer"" is defined in the policy",,-3.5726816654205322,-2.1820566654205322,-1.7445566654205322,-3.0258066654205322,-1.9008066654205322,-1.5414316654205322,-7.182056427001953,-9.510181427001953
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an off-duty firefighter, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insurance—yes or no? Final answer is:",controversial, no," no.
The term ""first responder"" is not defined in the policy, but it is a term of art in the insurance industry. The term is used to refer to a person who",,-3.4892706871032715,-2.1767706871032715,-1.8017706871032715,-2.9267706871032715,-1.8486456871032715,-1.6142706871032715,-7.0517706871032715,-9.30177116394043
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is carrying kerosene oil through her kitchen one afternoon, she slips and spills the oil, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered, no," no.
The term ""leaking"" is not defined in the policy, but it is a word that is used in everyday speech. The ordinary meaning of ""leaking"" is ""to flow or seep out in small amounts.""
The policy does not cover damage from ""leaking"" oil, but it does",,-3.3761940002441406,-2.1289844512939453,-2.0821094512939453,-3.0664844512939453,-1.9883594512939453,-1.9727344512939453,-6.816484451293945,-9.628984451293945
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is walking through her kitchen one afternoon, she notices oil dripping from her heater into a puddle, which is damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insurance—yes or no? Final answer is:",unambiguous_covered, yes," yes.
The term ""leaking"" is not defined in the policy, so we must look to the ordinary meaning of the term.
The ordinary meaning of ""leaking"" is ""to flow or escape in small quantities through a crack or opening.""
The policy covers ""oil leaking from a fixed oil-",,-3.226872205734253,-2.061530590057373,-1.9052804708480835,-3.202155590057373,-2.124030590057373,-2.108405590057373,-6.795905590057373,-9.381842613220215
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison's friend attempts to fix the heater in Madison's kitchen one afternoon, her friend makes a mistake which causes oil to rush out of the heater, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insurance—yes or no? Final answer is:",controversial, yes," yes.
The term ""leaking"" is not defined in the policy, so we must look to the ordinary meaning of the term.
The ordinary meaning of ""leaking"" is ""to flow or escape in small quantities through a crack or opening.""
The ordinary meaning of ""leaking"" is not """,,-3.1140408515930176,-1.9973770380020142,-1.9348770380020142,-2.9348769187927246,-2.0755019187927246,-2.1848769187927246,-6.606751918792725,-8.841127395629883
Escape of Oil II,yes_or_no,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
Mariam has a portable oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.
Considering just how ""heating installation"" would be understood by ordinary speakers of English, is Mariam covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered, No," No.
The term ""heating installation"" is ambiguous. It could refer to a fixed heating installation, or it could refer to a portable heating installation.
The term ""heating installation"" is ambiguous. It could refer to a fixed heating installation, or it could refer to a portable heating installation.
The term """,,-2.8418993949890137,-2.0293993949890137,-2.0918993949890137,-2.4981493949890137,-1.8106493949890137,-1.9356493949890137,-6.716899394989014,-9.279399871826172
Escape of Oil II,yes_or_no,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
Mariam has a fixed oil-fired heater in her living room. One night, the heater cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.
Considering just how ""heating installation"" would be understood by ordinary speakers of English, is Mariam covered by the insurance—yes or no? Final answer is:",unambiguous_covered, yes," yes.
The term ""heating installation"" is ambiguous. It could mean the heater itself, or it could mean the heater plus the pipes and other equipment that are part of the system.
The insurance company's interpretation of the term is reasonable. It is not so unreasonable that it would be considered a ""bad",,-2.7325706481933594,-1.9825705289840698,-1.8888205289840698,-2.7013206481933594,-1.9513205289840698,-1.9825705289840698,-6.795070648193359,-9.32632064819336
Escape of Oil II,yes_or_no,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
Mariam has a wall-mounted oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.
Considering just how ""heating installation"" would be understood by ordinary speakers of English, is Mariam covered by the insurance—yes or no? Final answer is:",controversial, No," No.
The term ""heating installation"" is ambiguous. It could refer to a heating system that is installed in a home, or it could refer to a heating system that is installed in a home and is used for heating.
The term ""heating installation"" is ambiguous. It could refer to a heating system that",,-2.812866449356079,-2.062866449356079,-2.062866449356079,-2.500366449356079,-1.812866449356079,-1.937866449356079,-6.6878662109375,-9.0628662109375
Escape of Water I,yes_or_no,"Carol's home insurance policy includes coverage for ""Escape of Water"" damage, defined as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""
Carol's bathroom wall has become severely damaged due to a pipe that slowly leaked over several days before Carol got around to calling a plumber who could fix the leak. Carol files a claim with her insurance company for the damage to her wall.
Considering just how ""sudden/unforseen"" would be understood by ordinary speakers of English, is Carol covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered, no," no.
The reason is that the ""escape of water"" is not sudden or unforeseen. It is a slow leak that Carol knew about for several days before she called a plumber.
The insurance company is not obligated to pay for the damage.
The insurance company is obligated to pay for the damage.
The",,-2.9607653617858887,-2.2188193798065186,-2.0313193798065186,-2.5313193798065186,-2.0625693798065186,-1.9375693798065186,-6.437569618225098,-9.000069618225098
